Key,English,Chinese,ChineseTraditional
str_guide_1061_01,修复营地<color=#7F00FF>需要木材</color>,修复营地<color=#7F00FF>需要木材</color>,修復營地<color=#7F00FF>需要木材</color>
str_guide_1090_01,现在可以<color=#7F00FF>修复营地</color>了,现在可以<color=#7F00FF>修复营地</color>了,現在可以<color=#7F00FF>修復營地</color>了
str_guide_1100_01,呼~终于可以休息会儿了。\n对了！巴恩，你还没告诉我怎么回事呢，我不会是在做梦吧...,呼~终于可以休息会儿了。\n对了！巴恩，你还没告诉我怎么回事呢，我不会是在做梦吧...,呼~終於可以休息會兒了。\n對了！巴恩，你還沒告訴我怎麼回事呢，我不會是在做夢吧...
str_guide_1100_02,你不记得怎么回事了吗？,你不记得怎么回事了吗？,你不記得怎麼回事了嗎？
str_guide_1100_03,？？？\n我只记得我在家里上厕所，忽然<color=#7F00FF>一束白光</color>把我吸走，醒来就到这里了...,？？？\n我只记得我在家里上厕所，忽然<color=#7F00FF>一束白光</color>把我吸走，醒来就到这里了...,？？？\n我只記得我在家裏上廁所，忽然<color=#7F00FF>一束白光</color>把我吸走，醒來就到這裏了...
str_guide_1100_04,你说，你是被一束白光带到这里的？\n你就是传说中那个<color=#7F00FF>从天而降</color>的少年！\n我们<color=#7F00FF>部落有救了</color>！！！,你说，你是被一束白光带到这里的？\n你就是传说中那个<color=#7F00FF>从天而降</color>的少年！\n我们<color=#7F00FF>部落有救了</color>！！！,你說，你是被一束白光帶到這裏的？\n你就是傳說中那個<color=#7F00FF>從天而降</color>的少年！\n我們<color=#7F00FF>部落有救了</color>！！！
str_guide_1100_05,你...你是谁啊...\n突然冒出来吓我一跳。,你...你是谁啊...\n突然冒出来吓我一跳。,你...你是誰啊...\n突然冒出來嚇我一跳。
str_guide_1100_06,我叫<color=#7F00FF>莎娜</color>，是迦娜部落的公主。,我叫<color=#7F00FF>莎娜</color>，是迦娜部落的公主。,我叫<color=#7F00FF>莎娜</color>，是迦娜部落的公主。
str_guide_1100_07,公主？\n公主不都有一群人前呼后拥吗，你怎么一个人在这里。,公主？\n公主不都有一群人前呼后拥吗，你怎么一个人在这里。,公主？\n公主不都有一群人前呼後擁嗎，你怎麼一個人在這裏。
str_guide_1100_08,一群坏蛋侵占了我们的迦娜岛...\n我准备在这里<color=#7F00FF>重建部落</color>，然后打回去！,一群坏蛋侵占了我们的迦娜岛...\n我准备在这里<color=#7F00FF>重建部落</color>，然后打回去！,一群壞蛋侵佔了我們的迦娜島...\n我準備在這裏<color=#7F00FF>重建部落</color>，然後打回去！
str_guide_1100_09,神谕说，一个<color=#7F00FF>从天而降</color>的少年会来帮我，\n那不就是你吗？,神谕说，一个<color=#7F00FF>从天而降</color>的少年会来帮我，\n那不就是你吗？,神諭說，一個<color=#7F00FF>從天而降</color>的少年會來幫我，\n那不就是你嗎？
str_guide_1100_10,......\n我只想带着我的狗，回到我那小破房子里,......\n我只想带着我的狗，回到我那小破房子里,......\n我只想帶著我的狗，回到我那小破房子裏
str_guide_1100_11,神谕里倒是也说了怎么能让你回去，不过...\n你先帮我个忙，我就告诉你~,神谕里倒是也说了怎么能让你回去，不过...\n你先帮我个忙，我就告诉你~,神諭裏倒是也說了怎麼能讓你回去，不過...\n你先幫我個忙，我就告訴你~
str_guide_1100_12,什么忙？不会是要星星要月亮吧...,什么忙？不会是要星星要月亮吧...,什麼忙？不會是要星星要月亮吧...
str_guide_1100_13,很简单啦！\n帮我收集一些<color=#7F00FF>木材和石头</color>。\n我要造一艘船去接我的族人们。,很简单啦！\n帮我收集一些<color=#7F00FF>木材和石头</color>。\n我要造一艘船去接我的族人们。,很簡單啦！\n幫我收集一些<color=#7F00FF>木材和石頭</color>。\n我要造一艘船去接我的族人們。
str_guide_2010_01,这么快就收集完啦，动作还挺麻利。\n那现在就去造船吧。,这么快就收集完啦，动作还挺麻利。\n那现在就去造船吧。,這麼快就收集完啦，動作還挺麻利。\n那現在就去造船吧。
str_guide_2010_02,船造好啦！\n我这就出发去接族人们了,船造好啦！\n我这就出发去接族人们了,船造好啦！\n我這就出發去接族人們了
str_guide_2010_03,喂！\n你还没说怎么能让我回去呢！,喂！\n你还没说怎么能让我回去呢！,喂！\n你還沒說怎麼能讓我回去呢！
str_guide_2010_04,神谕里说<color=#7F00FF>摧毁神庙</color>就可以。\n哎呀！我先走啦，回来再跟你说！,神谕里说<color=#7F00FF>摧毁神庙</color>就可以。\n哎呀！我先走啦，回来再跟你说！,神諭裏說<color=#7F00FF>摧毀神廟</color>就可以。\n哎呀！我先走啦，回來再跟你說！
str_guide_2020_01,诶！\n一溜烟就没影了，摧毁什么神庙啊...,诶！\n一溜烟就没影了，摧毁什么神庙啊...,誒！\n一溜煙就沒影了，摧毀什麼神廟啊...
str_guide_2020_02,等她回来再说吧，\n得先把这个<color=#7F00FF>破码头</color>修好，\n不然她回来船都没地方停。,等她回来再说吧，\n得先把这个<color=#7F00FF>破码头</color>修好，\n不然她回来船都没地方停。,等她回來再說吧，\n得先把這個<color=#7F00FF>破碼頭</color>修好，\n不然她回來船都沒地方停。
str_guide_2020_03,行吧，我看看<color=#7F00FF>修复码头</color>需要些什么东西。,行吧，我看看<color=#7F00FF>修复码头</color>需要些什么东西。,行吧，我看看<color=#7F00FF>修復碼頭</color>需要些什麼東西。
str_guide_2030_01,修复码头需要<color=#7F00FF>石锤</color>和<color=#7F00FF>石斧</color>。\n这荒郊野岭的也没个五金店，上哪找啊？,修复码头需要<color=#7F00FF>石锤</color>和<color=#7F00FF>石斧</color>。\n这荒郊野岭的也没个五金店，上哪找啊？,修復碼頭需要<color=#7F00FF>石錘</color>和<color=#7F00FF>石斧</color>。\n這荒郊野嶺的也沒個五金店，上哪找啊？
str_guide_2030_02,用刚才剩下的石头搭个简易的<color=#7F00FF>制作台</color>吧，\n我来教你怎么做！,用刚才剩下的石头搭个简易的<color=#7F00FF>制作台</color>吧，\n我来教你怎么做！,用剛才剩下的石頭搭個簡易的<color=#7F00FF>製作臺</color>吧，\n我來教你怎麼做！
str_guide_2070_01,工坊修好了，\n先<color=#7F00FF>制造</color>简单一点的<color=#7F00FF>石锤</color>吧。,工坊修好了，\n先<color=#7F00FF>制造</color>简单一点的<color=#7F00FF>石锤</color>吧。,工坊修好了，\n先<color=#7F00FF>製造</color>簡單一點的<color=#7F00FF>石錘</color>吧。
str_guide_2101_01,嗯...还有些粗糙。\n再造<color=#7F00FF>3把石锤</color>练练手，你才能学造<color=#7F00FF>石斧</color>。,嗯...还有些粗糙。\n再造<color=#7F00FF>3把石锤</color>练练手，你才能学造<color=#7F00FF>石斧</color>。,嗯...還有些粗糙。\n再造<color=#7F00FF>3把石錘</color>練練手，你才能學造<color=#7F00FF>石斧</color>。
str_guide_2110_01,工具齐全！可以去<color=#7F00FF>修复码头</color>了。,工具齐全！可以去<color=#7F00FF>修复码头</color>了。,工具齊全！可以去<color=#7F00FF>修復碼頭</color>了。
str_guide_2140_01,我还发愁船停在哪里呢，\n没想到你们把码头也修好了。,我还发愁船停在哪里呢，\n没想到你们把码头也修好了。,我還發愁船停在哪里呢，\n沒想到你們把碼頭也修好了。
str_guide_2140_02,哇！\n我们也没想到你这么久才回来，\n还以为你跑路了呢。,哇！\n我们也没想到你这么久才回来，\n还以为你跑路了呢。,哇！\n我們也沒想到你這麼久才回來，\n還以為你跑路了呢。
str_guide_2140_03,咳咳，这些都是我的族人，\n以后有什么活尽管安排！\n我先带大家四处转转，熟悉熟悉环境。,咳咳，这些都是我的族人，\n以后有什么活尽管安排！\n我先带大家四处转转，熟悉熟悉环境。,咳咳，這些都是我的族人，\n以後有什麼活儘管安排！\n我先帶大家四處轉轉，熟悉熟悉環境。
str_guide_2140_04,那个人怎么一直盯着我们的锤子看...,那个人怎么一直盯着我们的锤子看...,那個人怎麼一直盯著我們的錘子看...
str_guide_2140_05,这！！！\n这不是那些强大的野蛮人才拥有的<color=#7F00FF>神器</color>吗！\n我没有说你是野蛮人的意思...,这！！！\n这不是那些强大的野蛮人才拥有的<color=#7F00FF>神器</color>吗！\n我没有说你是野蛮人的意思...,這！！！\n這不是那些強大的野蠻人才擁有的<color=#7F00FF>神器</color>嗎！\n我沒有說你是野蠻人的意思...
str_guide_2140_06,我想拿一些<color=#7F00FF>海贝</color>和你交换这个神器，\n可以吗？,我想拿一些<color=#7F00FF>海贝</color>和你交换这个神器，\n可以吗？,我想拿一些<color=#7F00FF>海貝</color>和你交換這個神器，\n可以嗎？
str_guide_2140_07,<color=#7F00FF>海贝</color>是这个世界的<color=#7F00FF>货币</color>，\n挣钱总是没错的，\n快卖给他吧！,<color=#7F00FF>海贝</color>是这个世界的<color=#7F00FF>货币</color>，\n挣钱总是没错的，\n快卖给他吧！,<color=#7F00FF>海貝</color>是這個世界的<color=#7F00FF>貨幣</color>，\n掙錢總是沒錯的，\n快賣給他吧！
str_guide_2170_01,太好了，有了武器我就再也不怕被<color=#7F00FF>德鲁尔的野蛮人</color>欺负了！\n我这就去告诉其他人可以来这里买武器！,太好了，有了武器我就再也不怕被<color=#7F00FF>德鲁尔的野蛮人</color>欺负了！\n我这就去告诉其他人可以来这里买武器！,太好了，有了武器我就再也不怕被<color=#7F00FF>德魯爾的野蠻人</color>欺負了！\n我這就去告訴其他人可以來這裏買武器！
str_guide_2170_02,不过...要是有能供大家<color=#7F00FF>休息的地方</color>就好了，这个小岛可真是太偏僻了。,不过...要是有能供大家休息的地方就好了，这个小岛可真是太偏僻了。,不過...要是有能供大家休息的地方就好了，這個小島可真是太偏僻了。
str_guide_2170_03,那就<color=#7F00FF>修建</color>个<color=#7F00FF>茅草屋</color>吧，也不是很难。,那就<color=#7F00FF>修建</color>个<color=#7F00FF>茅草屋</color>吧，也不是很难。,那就<color=#7F00FF>修建</color>個<color=#7F00FF>茅草屋</color>吧，也不是很難。
str_guide_3010_01,瞭望塔修好了，莎娜，快看看<color=#7F00FF>蓝宝石</color>在哪？,瞭望塔修好了，莎娜，快看看<color=#7F00FF>蓝宝石</color>在哪？,瞭望塔修好了，莎娜，快看看<color=#7F00FF>藍寶石</color>在哪？
str_guide_3010_02,我看到了我看到了！这就带你们去！,我看到了我看到了！这就带你们去！,我看到了我看到了！這就帶你們去！
str_guide_3040_01,看！\n<color=#7F00FF>蓝宝石</color>就在那里！,看！\n<color=#7F00FF>蓝宝石</color>就在那里！,看！\n<color=#7F00FF>藍寶石</color>就在那裏！
str_guide_3051_01,野外采集需要<color=#7F00FF>派遣英雄</color>,野外采集需要<color=#7F00FF>派遣英雄</color>,野外採集需要<color=#7F00FF>派遣英雄</color>
str_guide_3052_01,这次就让<color=#7F00FF>莎娜</color>去吧,这次就让<color=#7F00FF>莎娜</color>去吧,這次就讓<color=#7F00FF>莎娜</color>去吧
str_guide_3070_01,采集需要时间，现在要紧事儿还多呢，让莎娜<color=#7F00FF>加速行动</color>吧！,采集需要时间，现在要紧事儿还多呢，让莎娜<color=#7F00FF>加速行动</color>吧！,採集需要時間，現在要緊事兒還多呢，讓莎娜<color=#7F00FF>加速行動</color>吧！
str_guide_3120_01,太幸运了！\n意外发现了一个<color=#7F00FF>宝箱</color>和一把<color=#7F00FF>钥匙</color>。\n快回去看看里面有什么好东西！,太幸运了！\n意外发现了一个<color=#7F00FF>宝箱</color>和一把<color=#7F00FF>钥匙</color>。\n快回去看看里面有什么好东西！,太幸運了！\n意外發現了一個<color=#7F00FF>寶箱</color>和一把<color=#7F00FF>鑰匙</color>。\n快回去看看裏面有什麼好東西！
str_guide_3200_01,里面有一把<color=#7F00FF>高级石斧</color>，我们拿着也没什么用，不如给莎娜当武器吧,里面有一把<color=#7F00FF>高级石斧</color>，我们拿着也没什么用，不如给莎娜当武器吧,裏面有一把<color=#7F00FF>高級石斧</color>，我們拿著也沒什麼用，不如給莎娜當武器吧
str_guide_3241_01,非常趁手，感觉实力大增！,非常趁手，感觉实力大增！,非常趁手，感覺實力大增！
str_guide_3250_01,所以......我们现在应该干嘛？,所以......我们现在应该干嘛？,所以......我們現在應該幹嘛？
str_guide_3250_02,笨蛋，忘了我们为什么找<color=#7F00FF>蓝宝石</color>吗！\n做<color=#7F00FF>骨甲</color>啊！！,笨蛋，忘了我们为什么找<color=#7F00FF>蓝宝石</color>吗！\n做<color=#7F00FF>骨甲</color>啊！！,笨蛋，忘了我們為什麼找<color=#7F00FF>藍寶石</color>嗎！\n做<color=#7F00FF>骨甲</color>啊！！
str_guide_3250_03,噢~对对对，差点忘记了。\n让我来试试手~,噢~对对对，差点忘记了。\n让我来试试手~,噢~對對對，差點忘記了。\n讓我來試試手~
str_guide_4030_01,我叫<color=#7F00FF>乌力鲁</color>，听说你们造的东西不错，\n我特地来看看，不过我可没打算买,我叫<color=#7F00FF>乌力鲁</color>，听说你们造的东西不错，\n我特地来看看，不过我可没打算买,我叫<color=#7F00FF>烏力魯</color>，聽說你們造的東西不錯，\n我特地來看看，不過我可沒打算買
str_guide_4030_02,这位勇士，看你骨骼精奇，\n不知道你愿不愿意加入我们工作室...\n不是，是我们部落,这位勇士，看你骨骼精奇，\n不知道你愿不愿意加入我们工作室...\n不是，是我们部落,這位勇士，看你骨骼精奇，\n不知道你願不願意加入我們工作室...\n不是，是我們部落
str_guide_4030_03,那我得先考验考验你们。\n如果你们能在<color=#7F00FF>12小时内</color>给我想要的东西，我就加入你们。,那我得先考验考验你们。\n如果你们能在<color=#7F00FF>12小时内</color>给我想要的东西，我就加入你们。,那我得先考驗考驗你們。\n如果你們能在<color=#7F00FF>12小時內</color>給我想要的東西，我就加入你們。
str_guide_4040_01,注意时间，<color=#7F00FF>超时</color>他就会生气走掉！,注意时间，<color=#7F00FF>超时</color>他就会生气走掉！,注意時間，<color=#7F00FF>超時</color>他就會生氣走掉！
str_guide_4050_01,幸好之前多备了几件骨甲，\n现在可以直接交付了~,幸好之前多备了几件骨甲，\n现在可以直接交付了~,幸好之前多備了幾件骨甲，\n現在可以直接交付了~
str_guide_4070_01,没想到你们这么迅速，\n看来实力的确不容小觑。,没想到你们这么迅速，\n看来实力的确不容小觑。,沒想到你們這麼迅速，\n看來實力的確不容小覷。
str_guide_4070_02,既然已经是一家人了，\n我告诉你们一个秘密。,既然已经是一家人了，\n我告诉你们一个秘密。,既然已經是一家人了，\n我告訴你們一個秘密。
str_guide_4070_03,我知道一个地方，墙上画着很多奇怪的人...\n其中一个小人，跟你长得很像！想去看看吗？,我知道一个地方，墙上画着很多奇怪的人...\n其中一个小人，跟你长得很像！想去看看吗？,我知道一個地方，牆上畫著很多奇怪的人...\n其中一個小人，跟你長得很像！想去看看嗎？
str_guide_4070_04,我倒是想看看，这里的野人和我长得能多像...,我倒是想看看，这里的野人和我长得能多像...,我倒是想看看，這裏的野人和我長得能多像...
str_guide_4100_01,没想到这里还有怪物把守！\n先消灭它们再说吧！,没想到这里还有怪物把守！\n先消灭它们再说吧！,沒想到這裏還有怪物把守！\n先消滅它們再說吧！
str_guide_4212_01,这个建筑是我们的了！\n看看里面是什么,这个建筑是我们的了！\n看看里面是什么,這個建築是我們的了！\n看看裏面是什麼
str_guide_4230_01,"那个小人的确很像我诶！\n""我""在带着一群带着<color=#7F00FF>头盔</color>的小人攻打神庙？","那个小人的确很像我诶！\n""我""在带着一群带着<color=#7F00FF>头盔</color>的小人攻打神庙？","那個小人的確很像我誒！\n""我""在帶著一群帶著<color=#7F00FF>頭盔</color>的小人攻打神廟？"
str_guide_4230_02,<color=#7F00FF>头盔</color>？欸，这里好像还记录了<color=#7F00FF>头饰坊</color>的建造图纸！,<color=#7F00FF>头盔</color>？欸，这里好像还记录了<color=#7F00FF>头饰坊</color>的建造图纸！,<color=#7F00FF>頭盔</color>？欸，這裏好像還記錄了<color=#7F00FF>頭飾坊</color>的建造圖紙！
str_guide_4230_03,看来是时候回去造一个<color=#7F00FF>头饰坊</color>了。,看来是时候回去造一个<color=#7F00FF>头饰坊</color>了。,看來是時候回去造一個<color=#7F00FF>頭飾坊</color>了。
str_guide_6010_01,没想到你做东西还挺有天赋，做了件<color=#25933C>优良品质</color>的装备出来！,没想到你做东西还挺有天赋，做了件<color=#25933C>优良品质</color>的装备出来！,沒想到你做東西還挺有天賦，做了件<color=#25933C>優良品質</color>的裝備出來！
str_guide_6010_02,再打磨一下，品质还能更上一层，<color=#7F00FF>属性</color>和<color=#7F00FF>价格</color>也会比之前高很多哦！试一下吧~,再打磨一下，品质还能更上一层，<color=#7F00FF>属性</color>和<color=#7F00FF>价格</color>也会比之前高很多哦！试一下吧~,再打磨一下，品質還能更上一層，<color=#7F00FF>屬性</color>和<color=#7F00FF>價格</color>也會比之前高很多哦！試一下吧~
str_guide_6040_01,咱们生意越做越大，也算有一定群众基础了，可以尝试一下<color=#7F00FF>讨价还价</color>了。,咱们生意越做越大，也算有一定群众基础了，可以尝试一下<color=#7F00FF>讨价还价</color>了。,咱們生意越做越大，也算有一定群眾基礎了，可以嘗試一下<color=#7F00FF>討價還價</color>了。
str_guide_6060_01,涨价会<color=#7F00FF>消耗</color>我们的<color=#7F00FF>能量</color>，不过现在能量还多，放心的给他涨价吧！,涨价会<color=#7F00FF>消耗</color>我们的<color=#7F00FF>能量</color>，不过现在能量还多，放心的给他涨价吧！,漲價會<color=#7F00FF>消耗</color>我們的<color=#7F00FF>能量</color>，不過現在能量還多，放心的給他漲價吧！
str_guide_7010_01,能量可是有限的，我们可以建造一个温暖的篝火，提升大家对我们的好感，<color=#7F00FF>能量上限</color>自然也会<color=#7F00FF>提升</color>。,能量可是有限的，我们可以建造一个温暖的篝火，提升大家对我们的好感，<color=#7F00FF>能量上限</color>自然也会<color=#7F00FF>提升</color>。,能量可是有限的，我們可以建造一個溫暖的篝火，提升大家對我們的好感，<color=#7F00FF>能量上限</color>自然也會<color=#7F00FF>提升</color>。
str_guide_7050_01,其他<color=#7F00FF>装饰物</color>也有同样的效果，多放一些装饰物，好好装扮一下我们的部落，大家一定会更喜欢你的。,其他<color=#7F00FF>装饰物</color>也有同样的效果，多放一些装饰物，好好装扮一下我们的部落，大家一定会更喜欢你的。,其他<color=#7F00FF>裝飾物</color>也有同樣的效果，多放一些裝飾物，好好裝扮一下我們的部落，大家一定會更喜歡你的。
str_guide_7050_02,知道了知道了，你怎么懂的这么多？,知道了知道了，你怎么懂的这么多？,知道了知道了，你怎麼懂的這麼多？
str_guide_7050_03,因为...因为所以科学道理啦！,因为...因为所以科学道理啦！,因為...因為所以科學道理啦！
str_guide_8010_01,现在有皮革啦，怎么做皮鞋呢？,现在有皮革啦，怎么做皮鞋呢？,現在有皮革啦，怎麼做皮鞋呢？
str_guide_8010_02,当然是要造个<color=#7F00FF>鞋履坊</color>啦！,当然是要造个<color=#7F00FF>鞋履坊</color>啦！,當然是要造個<color=#7F00FF>鞋履坊</color>啦！
str_guide_8010_03,不过得再去一趟那个<color=#7F00FF>建造工坊</color>，\n找找<color=#7F00FF>鞋履坊</color>的图纸。,不过得再去一趟那个<color=#7F00FF>建造工坊</color>，\n找找<color=#7F00FF>鞋履坊</color>的图纸。,不過得再去一趟那個<color=#7F00FF>建造工坊</color>，\n找找<color=#7F00FF>鞋履坊</color>的圖紙。
str_guide_8040_01,咳咳，这里虽然归我们了，但还是需要投资打理的。,咳咳，这里虽然归我们了，但还是需要投资打理的。,咳咳，這裏雖然歸我們了，但還是需要投資打理的。
str_guide_8050_01,每次投资都会获得临时buff，快试一下！,每次投资都会获得临时buff，快试一下！,每次投資都會獲得臨時buff，快試一下！
str_guide_8060_01,获得了<color=#7F00FF>制造时间缩短</color>的效果，持续300s，趁这段时间可以多造些装备哦。,获得了<color=#7F00FF>制造时间缩短</color>的效果，持续300s，趁这段时间可以多造些装备哦。,獲得了<color=#7F00FF>製造時間縮短</color>的效果，持續300s，趁這段時間可以多造些裝備哦。
str_guide_8060_02,投资一定次数后就可以大升级！\n<color=#7F00FF>鞋履坊</color>的图纸就在2级可以获得，剩下就看你的了,投资一定次数后就可以大升级！\n<color=#7F00FF>鞋履坊</color>的图纸就在2级可以获得，剩下就看你的了,投資一定次數後就可以大升級！\n<color=#7F00FF>鞋履坊</color>的圖紙就在2級可以獲得，剩下就看你的了
str_guide_9010_01,在这儿混了这么就了，我们的<color=#7F00FF>营地</color>也该升<color=#7F00FF>升级</color>了吧,在这儿混了这么就了，我们的<color=#7F00FF>营地</color>也该升<color=#7F00FF>升级</color>了吧,在這兒混了這麼就了，我們的<color=#7F00FF>營地</color>也該升<color=#7F00FF>升級</color>了吧
str_guide_9010_02,<color=#7F00FF>升级</color>有什么用？还浪费钱...,<color=#7F00FF>升级</color>有什么用？还浪费钱...,<color=#7F00FF>升級</color>有什麼用？還浪費錢...
str_guide_9010_03,去看看不就知道了,去看看不就知道了,去看看不就知道了
str_guide_20020_01,呼~<color=#7F00FF>神像</color>终于修好啦，可以一探究竟了,呼~<color=#7F00FF>神像</color>终于修好啦，可以一探究竟了,呼~<color=#7F00FF>神像</color>終於修好啦，可以一探究竟了
str_guide_20040_01,这些是神像恩赐的<color=#7F00FF>宝物</color>,这些是神像恩赐的<color=#7F00FF>宝物</color>,這些是神像恩賜的<color=#7F00FF>寶物</color>
str_guide_20050_01,这是<color=#7F00FF>交换</color>宝物需要的<color=#7F00FF>贡品</color>,这是<color=#7F00FF>交换</color>宝物需要的<color=#7F00FF>贡品</color>,這是<color=#7F00FF>交換</color>寶物需要的<color=#7F00FF>貢品</color>
str_taskDia_10001_01,茅草屋建好啦，\n应该马上就会来很多顾客了，\n我们得多造些武器备着才行。,茅草屋建好啦，\n应该马上就会来很多顾客了，\n我们得多造些武器备着才行。,茅草屋建好啦，\n應該馬上就會來很多顧客了，\n我們得多造些武器備著才行。
str_taskDia_10001_02,没有地方存放啊...\n我看得先造个<color=#7F00FF>仓库</color>才行。,没有地方存放啊...\n我看得先造个<color=#7F00FF>仓库</color>才行。,沒有地方存放啊...\n我看得先造個<color=#7F00FF>倉庫</color>才行。
str_taskDia_10002_01,你不知道吧，<color=#7F00FF>售卖装备</color>可以积累经验，\n<color=#7F00FF>提升等级</color>，\n之后才能...才能做更多的事！,你不知道吧，<color=#7F00FF>售卖装备</color>可以积累经验，\n<color=#7F00FF>提升等级</color>，\n之后才能...才能做更多的事！,你不知道吧，<color=#7F00FF>售賣裝備</color>可以積累經驗，\n<color=#7F00FF>提升等級</color>，\n之後才能...才能做更多的事！
str_taskDia_10002_02,又在胡言乱语些什么...,又在胡言乱语些什么...,又在胡言亂語些什麼...
str_taskDia_10003_01,你们这里除了武器有其他东西吗？\n我想要买一件防身的<color=#7F00FF>草甲</color>,你们这里除了武器有其他东西吗？\n我想要买一件防身的<color=#7F00FF>草甲</color>,你們這裏除了武器有其他東西嗎？\n我想要買一件防身的<color=#7F00FF>草甲</color>
str_taskDia_10003_02,草甲？\n做是可以做，不过得先有<color=#7F00FF>裁缝铺</color>才行。,草甲？\n做是可以做，不过得先有<color=#7F00FF>裁缝铺</color>才行。,草甲？\n做是可以做，不過得先有<color=#7F00FF>裁縫鋪</color>才行。
str_taskDia_10004_01,既然都有裁缝铺了，\n也给我们的勇士们做些衣服吧。,既然都有裁缝铺了，\n也给我们的勇士们做些衣服吧。,既然都有裁縫鋪了，\n也給我們的勇士們做些衣服吧。
str_taskDia_10004_02,草甲的防御力不行，\n<color=#7F00FF>骨甲</color>才能更好的保护我们的勇士，不过我们得先积攒熟练度才行。,草甲的防御力不行，\n<color=#7F00FF>骨甲</color>才能更好的保护我们的勇士，不过我们得先积攒熟练度才行。,草甲的防禦力不行，\n<color=#7F00FF>骨甲</color>才能更好的保護我們的勇士，不過我們得先積攢熟練度才行。
str_taskDia_10005_01,我才想起来<color=#7F00FF>制作骨甲</color>需要<color=#7F00FF>蓝宝石</color>当材料，\n这东西可不好找。,我才想起来<color=#7F00FF>制作骨甲</color>需要<color=#7F00FF>蓝宝石</color>当材料，\n这东西可不好找。,我才想起來<color=#7F00FF>製作骨甲</color>需要<color=#7F00FF>藍寶石</color>當材料，\n這東西可不好找。
str_taskDia_10005_02,我见过<color=#7F00FF>蓝宝石</color>!不过...\n那是很久以前了，我只记得大概的方向了。,我见过<color=#7F00FF>蓝宝石</color>!不过...\n那是很久以前了，我只记得大概的方向了。,我見過<color=#7F00FF>藍寶石</color>!不過...\n那是很久以前了，我只記得大概的方向了。
str_taskDia_10005_03,如果把<color=#7F00FF>瞭望塔</color>修好，我可以爬上去看看，蓝宝石很耀眼，我肯定能一眼就找到它！,如果把<color=#7F00FF>瞭望塔</color>修好，我可以爬上去看看，蓝宝石很耀眼，我肯定能一眼就找到它！,如果把<color=#7F00FF>瞭望塔</color>修好，我可以爬上去看看，藍寶石很耀眼，我肯定能一眼就找到它！
str_taskDia_10006_01,趁热打铁，多造几件<color=#7F00FF>骨甲</color>以备不时之需吧,趁热打铁，多造几件<color=#7F00FF>骨甲</color>以备不时之需吧,趁熱打鐵，多造幾件<color=#7F00FF>骨甲</color>以備不時之需吧
str_taskDia_10007_01,让我来尝试做一些<color=#7F00FF>帽子</color>吧，\n勇士们戴上肯定士气倍增！,让我来尝试做一些<color=#7F00FF>帽子</color>吧，\n勇士们戴上肯定士气倍增！,讓我來嘗試做一些<color=#7F00FF>帽子</color>吧，\n勇士們戴上肯定士氣倍增！
str_taskDia_10008_01,怎么感觉今天没什么人气啊？,怎么感觉今天没什么人气啊？,怎麼感覺今天沒什麼人氣啊？
str_taskDia_10008_02,别提了，昨天乌力鲁他们打了只野兔凉拌了吃，结果大家都拉肚子了...,别提了，昨天乌力鲁他们打了只野兔凉拌了吃，结果大家都拉肚子了...,別提了，昨天烏力魯他們打了只野兔涼拌了吃，結果大家都拉肚子了...
str_taskDia_10008_03,凉拌？！！！简直是暴殄天物！\n烤小兔不香吗？一会儿我就去搭个<color=#7F00FF>烤肉架</color>,凉拌？！！！简直是暴殄天物！\n烤小兔不香吗？一会儿我就去搭个<color=#7F00FF>烤肉架</color>,涼拌？！！！簡直是暴殄天物！\n烤小兔不香嗎？一會兒我就去搭個<color=#7F00FF>烤肉架</color>
str_taskDia_10009_01,每天去采集草料，我的手都快废了...,每天去采集草料，我的手都快废了...,每天去採集草料，我的手都快廢了...
str_taskDia_10009_02,你可以花点海贝，造一个<color=#7F00FF>草料厂</color>，请个工人来采草嘛，咱又不是没钱。,你可以花点海贝，造一个<color=#7F00FF>草料厂</color>，请个工人来采草嘛，咱又不是没钱。,你可以花點海貝，造一個<color=#7F00FF>草料廠</color>，請個工人來采草嘛，咱又不是沒錢。
str_taskDia_10010_01,那天我去河边喝水，遇到一只大黑熊！吓死狗了...,那天我去河边喝水，遇到一只大黑熊！吓死狗了...,那天我去河邊喝水，遇到一只大黑熊！嚇死狗了...
str_taskDia_10010_02,哪有熊，我怎么丛来没遇到过。,哪有熊，我怎么丛来没遇到过。,哪有熊，我怎麼叢來沒遇到過。
str_taskDia_10010_03,你可庆幸没遇到吧！搞不好就被吃掉了...,你可庆幸没遇到吧！搞不好就被吃掉了...,你可慶倖沒遇到吧！搞不好就被吃掉了...
str_taskDia_10010_04,反正我是不敢去河边了，造个<color=#7F00FF>水井</color>吧，方便大家~,反正我是不敢去河边了，造个<color=#7F00FF>水井</color>吧，方便大家~,反正我是不敢去河邊了，造個<color=#7F00FF>水井</color>吧，方便大家~
str_taskDia_10010_05,我看就是方便你这只“懒狗”吧。,我看就是方便你这只“懒狗”吧。,我看就是方便你這只“懶狗”吧。
str_taskDia_10011_01,我这双鞋自从我来这儿就没换过，这味道我都快受不了了!\n光脚我又不习惯，你倒是想想办法。,我这双鞋自从我来这儿就没换过，这味道我都快受不了了!\n光脚我又不习惯，你倒是想想办法。,我這雙鞋自從我來這兒就沒換過，這味道我都快受不了了!\n光腳我又不習慣，你倒是想想辦法。
